date,cedis_group,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2023-02-07,NC,,,251.0693546113,141.741867181831,360.396842040768,19
2023-02-08,NC,,,251.209427680363,141.849994967338,360.568860393389,19
2023-02-09,NC,,,251.352701012332,141.960618078374,360.74478394629,19
2023-02-10,NC,,,251.499152825883,142.073720244023,360.924585407742,19
2023-02-11,NC,,,251.648760479437,142.189284532389,361.108236426486,19
2023-02-12,NC,,,251.801500473623,142.30729335191,361.295707595335,19
2023-02-13,NC,,,251.957348453885,142.427728452778,361.486968454993,19
2023-02-14,NC,,,252.116279213266,142.550570928464,361.681987498069,19
2023-02-15,NC,,,252.278266695341,142.675801217368,361.880732173314,19
2023-02-16,NC,,,252.443283997319,142.803399104575,362.083168890063,19
2023-02-17,NC,,,252.61130337332,142.933343723737,362.289263022903,19
2023-02-18,NC,,,252.782296237822,143.06561355908,362.498978916564,19
2023-02-19,NC,,,252.956233169281,143.200186447529,362.712279891034,19
2023-02-20,NC,,,253.133083913945,143.337039580982,362.929128246907,19
2023-02-21,NC,,,253.312817389834,143.476149508698,363.14948527097,19
2023-02-22,NC,,,253.495401690929,143.61749213984,363.373311242019,19
2023-02-23,NC,,,253.680804091541,143.761042746152,363.600565436931,19
2023-02-24,NC,,,253.868991050878,143.90677596478,363.831206136976,19
2023-02-25,NC,,,254.059928217817,144.054665801254,364.065190634381,19
2023-02-26,NC,,,254.253580435879,144.204685632606,364.302475239153,19
2023-02-27,NC,,,254.44991174841,144.356808210661,364.543015286158,19
2023-02-28,NC,,,254.648885403976,144.511005665483,364.786765142469,19
2023-03-01,NC,,,254.850463861977,144.66724950898,365.033678214974,19
2023-03-02,NC,,,255.054608798476,144.825510638689,365.283706958263,19
2023-03-03,NC,,,255.261281112257,144.985759341723,365.536802882791,19
2023-03-04,NC,,,255.470440931108,145.147965298903,365.792916563314,19
2023-03-05,NC,,,255.682047618337,145.31209758906,366.051997647613,19
2023-03-06,NC,,,255.896059779521,145.478124693531,366.313994865511,19
2023-03-07,NC,,,256.112435269499,145.646014500832,366.578856038167,19
2023-03-08,NC,,,256.331131199607,145.815734311532,366.846528087682,19
2023-03-09,NC,,,256.552103945151,145.987250843312,367.11695704699,19
2023-03-10,NC,,,256.775309153144,146.160530236231,367.390088070057,19
2023-03-11,NC,,,257.000701750283,146.335538058184,367.665865442383,19
2023-03-12,NC,,,257.228235951195,146.512239310573,367.944232591816,19
2023-03-13,NC,,,257.457865266929,146.690598434181,368.225132099677,19
2023-03-14,NC,,,257.689542513727,146.870579315261,368.508505712192,19
2023-03-15,NC,,,257.923219822046,147.052145291838,368.794294352254,19
2023-03-16,NC,,,258.158848645862,147.235259160224,369.082438131499,19
2023-03-17,NC,,,258.396379772234,147.419883181767,369.372876362701,19
2023-03-18,NC,,,258.635763331154,147.605979089806,369.665547572502,19
2023-03-19,NC,,,258.876948805664,147.793508096866,369.960389514463,19
2023-03-20,NC,,,259.119885042262,147.982430902078,370.257339182445,19
2023-03-21,NC,,,259.364520261576,148.172707698824,370.556332824328,19
2023-03-22,NC,,,259.610802069342,148.364298182628,370.857305956055,19
2023-03-23,NC,,,259.858677467644,148.557161559274,371.160193376015,19
2023-03-24,NC,,,260.108092866464,148.751256553161,371.464929179767,19
2023-03-25,NC,,,260.358994095503,148.946541415911,371.771446775096,19
2023-03-26,NC,,,260.611326416302,149.142973935199,372.079678897405,19
2023-03-27,NC,,,260.865034534653,149.340511443848,372.389557625458,19
2023-03-28,NC,,,261.120062613301,149.539110829152,372.701014397449,19
2023-03-29,NC,,,261.376354284937,149.738728542455,373.013980027419,19
2023-03-30,NC,,,261.633852665494,149.939320608976,373.328384722013,19
2023-03-31,NC,,,261.892500367724,150.140842637877,373.644158097572,19
2022-04-01,RC,97,105.285714285714,127.422281468988,46.1204591212442,208.724103816732,20
2022-04-02,RC,76,102.142857142857,127.220213073677,45.9829631166008,208.457463030754,20
2022-04-03,RC,76,99.0,127.01670505967,45.8445443690733,208.188865750266,20
2022-04-04,RC,119,98.7142857142857,126.811834414804,45.7052563834192,207.91841244619,20
2022-04-05,RC,105,94.8571428571429,126.605678223822,45.5651526617697,207.646203785873,20
2022-04-06,RC,112,101.285714285714,126.398313636066,45.4242866799729,207.372340592159,20
2022-04-07,RC,115,101.857142857143,126.189817833638,45.2827118643449,207.09692380293,20
2022-04-08,RC,98,100.285714285714,125.980268000011,45.1404815688441,206.820054431178,20
2022-04-09,RC,89,102.428571428571,125.769741289138,44.9976490526795,206.541833525597,20
2022-04-10,RC,95,102.571428571429,125.558314795054,44.8542674583683,206.26236213174,20
2022-04-11,RC,112,106.285714285714,125.346065521996,44.7103897902514,205.981741253742,20
2022-04-12,RC,116,106.571428571429,125.133070355061,44.5660688934814,205.700071816641,20
2022-04-13,RC,106,103.714285714286,124.919406031399,44.4213574334888,205.417454629309,20
2022-04-14,RC,94,97.1428571428571,124.705149111976,44.2763078759399,205.133990348012,20
2022-04-15,RC,85,96.7142857142857,124.490375953898,44.1309724671917,204.849779440604,20
