date,age,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2022-08-15,0-19,477,470.714285714286,720.038839355387,483.250472674897,956.827206035876,33
2022-08-16,0-19,484,477.571428571429,719.747603840846,483.007468761619,956.487738920073,33
2022-08-17,0-19,456,482.142857142857,719.449021704776,482.758339589165,956.139703820388,33
2022-08-18,0-19,389,474.857142857143,719.143253097937,482.503219509901,955.783286685972,33
2022-08-19,0-19,413,468.428571428571,718.830460298042,482.242244649556,955.418675946528,33
2022-08-20,0-19,484,466.857142857143,718.510807644266,481.975552850914,955.046062437618,33
2022-08-21,0-19,452,452.285714285714,718.18446147127,481.703283617128,954.665639325412,33
2022-08-22,0-19,460,449.0,717.851590042818,481.425578054705,954.277602030932,33
2022-08-23,0-19,456,445.857142857143,717.512363485016,481.14257881619,953.882148153842,33
2022-08-24,0-19,473,446.0,717.166953719207,480.854430042593,953.479477395822,33
2022-08-25,0-19,456,456.571428571429,716.815534394581,480.561277305587,953.069791483575,33
2022-08-26,0-19,486,467.571428571429,716.458280820526,480.263267549531,952.653294091522,33
2022-08-27,0-19,477,465.571428571429,716.095369898768,479.960549033326,952.230190764211,33
2022-08-28,0-19,459,467.571428571429,715.726980055338,479.653271272171,951.800688838505,33
2022-08-29,0-19,461,466.571428571429,715.353291172408,479.341584979236,951.36499736558,33
2022-08-30,0-19,435,463.571428571429,714.974484520032,479.025642007281,950.923327032783,33
2022-08-31,0-19,470,452.571428571429,714.590742687836,478.70559529028,950.475890085392,33
2022-09-01,0-19,451,462.857142857143,714.202249516687,478.381598785059,950.022900248315,33
2022-09-02,0-19,506,466.857142857143,713.809190030391,478.053807412995,949.564572647786,33
2022-09-03,0-19,520,474.571428571429,713.411750367445,477.722377001805,949.101123733085,33
2022-09-04,0-19,562,489.0,713.010117712887,477.387464227455,948.632771198318,33
2022-09-05,0-19,452,482.571428571429,712.604480230278,477.049226556232,948.159733904324,33
2022-09-06,0-19,493,494.285714285714,712.195026993851,476.707822186986,947.682231800716,33
2022-09-07,0-19,517,501.142857142857,711.781947920863,476.363409993605,947.20048584812,33
2022-09-08,0-19,470,502.428571428571,711.365433704175,476.016149467718,946.714717940632,33
2022-09-09,0-19,513,506.0,710.945675745115,475.666200661688,946.225150828542,33
2022-09-10,0-19,464,493.857142857143,710.522866086625,475.313724131896,945.732008041355,33
2022-09-11,0-19,478,485.142857142857,710.097197346754,474.958880882357,945.235513811151,33
2022-09-12,0-19,515,492.0,709.668862652502,474.601832308697,944.735892996307,33
2022-09-13,0-19,457,489.142857142857,709.238055574068,474.242740142507,944.233371005629,33
2022-09-14,0-19,493,484.285714285714,708.804970059507,473.881766396104,943.728173722911,33
2022-09-15,0-19,486,488.285714285714,708.369800369851,473.519073307729,943.220527431973,33
2022-09-16,0-19,441,477.142857142857,707.932741014685,473.154823287193,942.710658742178,33
2022-09-17,0-19,469,475.571428571429,707.493986688254,472.789178862004,942.198794514504,33
2022-09-18,0-19,437,468.0,707.053732206067,472.422302623994,941.68516178814,33
2022-09-19,0-19,416,459.142857142857,706.612172442081,472.054357176464,941.169987707699,33
2022-09-20,0-19,472,455.428571428571,706.16950226644,471.685505081867,940.653499451013,33
2022-09-21,0-19,487,459.571428571429,705.725916483822,471.315908810055,940.135924157589,33
2022-09-22,0-19,466,454.857142857143,705.281609772407,470.945730687104,939.61748885771,33
2022-09-23,0-19,560,475.285714285714,704.836776623476,470.575132844722,939.09842040223,33
2022-09-24,0-19,492,474.142857142857,704.391611281679,470.204277170285,938.578945393072,33
