date,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2023-01-11,2802,2936.14285714286,3890.78535323975,3269.79558727575,4511.77511920376,38
2023-01-12,2910,2912.14285714286,3891.32284797645,3270.28596005785,4512.35973589505,38
2023-01-13,3111,2922.57142857143,3891.90392374698,3270.81635693709,4512.99149055688,38
2023-01-14,2723,2882.14285714286,3892.52853475608,3271.3867368438,4513.67033266836,38
2023-01-15,2662,2894.0,3893.19662375197,3271.9970482443,4514.39619925965,38
2023-01-16,3349,2918.0,3893.9081220317,3272.64722914521,4515.16901491819,38
2023-01-17,3021,2939.71428571429,3894.66294944813,3273.33720709941,4515.98869179684,38
2023-01-18,2926,2957.42857142857,3895.46101441877,3274.06689921349,4516.85512962406,38
2023-01-19,3023,2973.57142857143,3896.30221393645,3274.83621215676,4517.76821571614,38
2023-01-20,3182,2983.71428571429,3897.18643358166,3275.6450421719,4518.72782499142,38
2023-01-21,2824,2998.14285714286,3898.11354753683,3276.49327508715,4519.7338199865,38
2023-01-22,2619,2992.0,3899.08341860238,3277.38078633011,4520.78605087466,38
2023-01-23,3281,2982.28571428571,3900.09589821467,3278.30744094316,4521.88435548618,38
2023-01-24,3138,2999.0,3901.15082646572,3279.27309360058,4523.02855933087,38
2023-01-25,2994,3008.71428571429,3902.24803212493,3280.27758862718,4524.21847562268,38
2023-01-26,3346,3054.85714285714,3903.38733266257,3281.32076001876,4525.45390530638,38
2023-01-27,3364,3080.85714285714,3904.56853427534,3282.40243146418,4526.7346370865,38
2023-01-28,2997,3105.57142857143,3905.79143191371,3283.52241636911,4528.06044745831,38
2023-01-29,2868,3141.14285714286,3907.05580931136,3284.68051788161,4529.4311007411,38
2023-01-30,3382,3155.57142857143,3908.36143901652,3285.87652891938,4530.84634911366,38
2023-01-31,3163,3159.14285714286,3909.70808242535,3287.1102321988,4532.30593265189,38
2023-02-01,3078,3171.14285714286,3911.09548981733,3288.38140026582,4533.80957936884,38
2023-02-02,3195,3149.57142857143,3912.52340039279,3289.68979552865,4535.35700525692,38
2023-02-03,3427,3158.57142857143,3913.99154231236,3291.03517029225,4536.94791433246,38
2023-02-04,3092,3172.14285714286,3915.49963273872,3292.41726679479,4538.58199868264,38
2023-02-05,2966,3186.14285714286,3917.04737788035,3293.83581724594,4540.25893851476,38
2023-02-06,3480,3200.14285714286,3918.63447303753,3295.29054386715,4541.97840220791,38
2023-02-07,3165,3200.42857142857,3920.26060265048,3296.78115893383,4543.74004636713,38
2023-02-08,3119,3206.28571428571,3921.92544034974,3298.30736481958,4545.5435158799,38
2023-02-09,3096,3192.14285714286,3923.62864900884,3299.86885404241,4547.38844397527,38
2023-02-10,3374,3184.57142857143,3925.3698807992,3301.46530931298,4549.27445228543,38
2023-02-11,3161,3194.42857142857,3927.14877724741,3303.09640358501,4551.2011509098,38
2023-02-12,3081,3210.85714285714,3928.96496929474,3304.76180010768,4553.1681384818,38
2023-02-13,3686,3240.28571428571,3930.81807735922,3306.46115248028,4555.17500223815,38
2023-02-14,3258,3253.57142857143,3932.70771139991,3308.19410470895,4557.22131809086,38
2023-02-15,3270,3275.14285714286,3934.63347098378,3309.96029126569,4559.30665070186,38
2023-02-16,3297,3303.85714285714,3936.59494535498,3311.75933714956,4561.43055356041,38
2023-02-17,3544,3328.14285714286,3938.59171350667,3313.59085795017,4563.59256906316,38
2023-02-18,3109,3320.71428571429,3940.62334425527,3315.45445991345,4565.79222859708,38
2023-02-19,3007,3310.14285714286,3942.68939631745,3317.34974000981,4568.0290526251,38
2023-02-20,3748,3319.0,3944.78941838962,3319.27628600454,4570.3025507747,38
2023-02-21,3391,3338.0,3946.92294923001,3321.23367653078,4572.61222192925,38
2023-02-22,3370,3352.28571428571,3949.08951774353,3323.22148116474,4574.95755432233,38
2023-02-23,3574,3391.85714285714,3951.28864306926,3325.23926050351,4577.338025635,38
2023-02-24,3507,3386.57142857143,3953.51983467063,3327.28656624531,4579.75310309595,38
2023-02-25,3135,3390.28571428571,3955.78259242846,3329.36294127221,4582.2022435847,38
2023-02-26,2961,3383.71428571429,3958.07640673667,3331.46791973552,4584.68489373783,38
2023-02-27,3474,3344.57142857143,3960.40075860093,3333.60102714362,4587.20049005823,38
2023-02-28,3447,3352.57142857143,3962.75511974,3335.76178045254,4589.74845902746,38
