date,syndrome,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2023-04-07,SARI,22,29.7142857142857,57.9543112275921,-3.16722172975301,119.075844184937,29
2023-04-08,SARI,22,27.8571428571429,57.6201080205753,-3.32361455234247,118.563830593493,29
2023-04-09,SARI,25,27.5714285714286,57.2862561075281,-3.47933228508332,118.051844500139,29
2023-04-10,SARI,27,26.0,56.9528742068149,-3.63431713763852,117.540065551268,29
2023-04-11,SARI,32,27.1428571428571,56.6200789479338,-3.78851298034453,117.028670876212,29
2023-04-12,SARI,30,27.5714285714286,56.2879848375816,-3.94186535606135,116.517835031225,29
2023-04-13,SARI,54,30.2857142857143,55.9567042290676,-4.09432148950051,116.007729947636,29
2023-04-14,SARI,33,31.8571428571429,55.6263472950259,-4.24583029408412,115.498524884136,29
2023-04-15,SARI,27,32.5714285714286,55.2970220033719,-4.39634237639145,114.990386383135,29
2023-04-16,SARI,27,32.8571428571429,54.9688340964455,-4.5458100382514,114.483478231142,29
2023-04-17,SARI,37,34.2857142857143,54.6418870732774,-4.69418727654338,113.977961423098,29
2023-04-18,SARI,32,34.2857142857143,54.3162821749151,-4.84142978076995,113.4739941306,29
2023-04-19,SARI,34,34.8571428571429,53.9921183727377,-4.98749492846782,112.971731673943,29
2023-04-20,SARI,41,33.0,53.669492359689,-5.13234177852538,112.471326497903,29
2023-04-21,SARI,31,32.7142857142857,53.3484985443547,-5.27593106247662,111.972928151186,29
2023-04-22,SARI,21,31.8571428571429,53.0292290478043,-5.41822517384303,111.476683269452,29
2023-04-23,SARI,26,31.7142857142857,52.7117737031217,-5.55918815559575,110.982735561839,29
2023-04-24,SARI,26,30.1428571428571,52.3962200575408,-5.69878568581239,110.491225800894,29
2023-04-25,SARI,36,30.7142857142857,52.0826533771036,-5.83698506160276,110.00229181581,29
2023-04-26,SARI,24,29.2857142857143,51.7711566537573,-5.97375518137885,109.516068488893,29
2023-04-27,SARI,35,28.4285714285714,51.4618106148031,-6.1090665255452,109.032687755151,29
2023-04-28,SARI,29,28.1428571428571,51.1546937346105,-6.24289113568538,108.552278604906,29
2023-04-29,SARI,27,29.0,50.8498822485099,-6.37520259232096,108.074967089341,29
2023-04-30,SARI,19,28.0,50.5474501687741,-6.50597599131914,107.600876328867,29
2023-05-01,SARI,23,27.5714285714286,50.2474693026004,-6.63518791902502,107.130126524226,29
2023-05-02,SARI,36,27.5714285714286,49.9500092720048,-6.76281642619374,106.662834970203,29
2023-05-03,SARI,20,27.0,49.6551375355377,-6.88884100079782,106.199116071873,29
2023-05-04,SARI,29,26.1428571428571,49.3629194117354,-7.01324253978363,105.739081363254,29
2023-05-05,SARI,32,26.5714285714286,49.0734181042137,-7.13600331985092,105.282839528278,29
2023-05-06,SARI,17,25.1428571428571,48.7866947283212,-7.25710696732752,104.83049642397,29
2023-05-07,SARI,22,25.5714285714286,48.5028083392605,-7.37653842721063,104.382155105732,29
2023-05-08,SARI,19,25.0,48.221815961593,-7.49428393144552,103.937915854632,29
2023-05-09,SARI,39,25.4285714285714,47.9437726200403,-7.61033096650981,103.49787620659,29
2023-05-10,SARI,25,26.1428571428571,47.6687313714981,-7.72466824037175,103.062130983368,29
2023-05-11,SARI,12,23.7142857142857,47.3967433381794,-7.83728564888786,102.630772325247,29
2023-05-12,SARI,29,23.2857142857143,47.1278577418035,-7.94817424170507,102.203889725312,29
2023-05-13,SARI,23,24.1428571428571,46.8621219387512,-8.05732618773025,101.781570065233,29
2023-05-14,SARI,32,25.5714285714286,46.5995814561066,-8.16473474022787,101.363897652441,29
2023-05-15,SARI,38,28.2857142857143,46.340280028507,-8.27039420160616,100.95095425862,29
2023-05-16,SARI,24,26.1428571428571,46.0842596357254,-8.37429988794873,100.5428191594,29
2023-05-17,SARI,23,25.8571428571429,45.8315605409113,-8.47644809334817,100.139569175171,29
2023-05-18,SARI,21,27.1428571428571,45.5822213294169,-8.57683605409503,99.7412787129287,29
2023-05-19,SARI,22,26.1428571428571,45.3362789481375,-8.67546191277495,99.3480198090499,29
2023-05-20,SARI,24,26.2857142857143,45.0937687452988,-8.77232468232357,98.9598621729212,29
2023-05-21,SARI,30,26.0,44.8547245106224,-8.86742421008784,98.5768732313326,29
2023-05-22,SARI,45,27.0,44.6191785158051,-8.96076114193985,98.1991181735501,29
2023-05-23,SARI,28,27.5714285714286,44.3871615552502,-9.05233688648772,97.826659996988,29
2023-05-24,SARI,29,28.4285714285714,44.1587029869882,-9.14215357942541,97.4595595534018,29
2023-05-25,SARI,29,29.5714285714286,43.9338307737293,-9.23021404806273,97.0978755955214,29
2023-05-26,SARI,20,29.2857142857143,43.7125715239903,-9.31652177607319,96.7416648240538,29
2023-05-27,SARI,24,29.2857142857143,43.4949505332415,-9.40108086849666,96.3909819349796,29
2023-05-28,SARI,25,28.5714285714286,43.28099182502,-9.48389601703165,96.0458796670717,29
2023-05-29,SARI,23,25.4285714285714,43.0707181919611,-9.56497246564946,95.7064088495716,29
2023-05-30,SARI,21,24.4285714285714,42.8641512366956,-9.64431597656158,95.3726184499529,29
2023-05-31,SARI,29,24.4285714285714,42.6613114125705,-9.72193279656918,95.0445556217101,29
2023-06-01,SARI,24,23.7142857142857,42.4622180641446,-9.79782962382197,94.7222657521112,29
2023-06-02,SARI,26,24.5714285714286,42.2668894674199,-9.87201357501218,94.4057925098521,29
2023-06-03,SARI,28,25.1428571428571,42.0753428697661,-9.94449215302702,94.0951778925591,29
2023-06-04,SARI,24,25.0,41.8875945294993,-10.0152732150823,93.7904622740809,29
2023-06-05,SARI,32,26.2857142857143,41.7036597550801,-10.0843649413575,93.4916844515176,29
2023-06-06,SARI,24,26.7142857142857,41.5235529438939,-10.1517758041509,93.1988816919387,29
2023-06-07,SARI,21,25.5714285714286,41.3472876205819,-10.2175145375727,92.9120897787365,29
2023-06-08,SARI,30,26.4285714285714,41.1748764748901,-10.2815901077919,92.6313430575721,29
2023-06-09,SARI,26,26.4285714285714,41.0063313990079,-10.3440116838512,92.356674481867,29
2023-06-10,SARI,19,25.1428571428571,40.8416635243674,-10.4047886090631,92.0881156577979,29
2023-06-11,SARI,14,23.7142857142857,40.6808832578776,-10.4639303729995,91.8256968887548,29
2023-06-12,SARI,30,23.4285714285714,40.5240003175685,-10.5214465840848,91.5694472192218,29
2023-06-13,SARI,27,23.8571428571429,40.3710237676216,-10.5773469428016,91.3193944780447,29
2023-06-14,SARI,16,23.1428571428571,40.221962052766,-10.6316412155183,91.0755653210502,29
2023-06-15,SARI,28,22.8571428571429,40.0768230320185,-10.6843392089444,90.8379852729814,29
2023-06-16,SARI,21,22.1428571428571,39.9356140117498,-10.7354507452205,90.6066787687201,29
2023-06-17,SARI,29,23.5714285714286,39.7983417780585,-10.7849856376471,90.3816691937642,29
2023-06-18,SARI,24,25.0,39.6650126284367,-10.8329536670581,90.1629789239315,29
2023-06-19,SARI,35,25.7142857142857,39.5356324027119,-10.8793645588397,89.9506293642635,29
2023-06-20,SARI,28,25.8571428571429,39.4102065132518,-10.9242279605998,89.7446409871035,29
2023-06-21,SARI,28,27.5714285714286,39.2887399744181,-10.9675534204881,89.5450333693243,29
2023-06-22,SARI,16,25.8571428571429,39.1712374312577,-11.0093503661676,89.3518252286831,29
2023-06-23,SARI,18,25.4285714285714,39.057703187421,-11.0496280844397,89.1650344592818,29
2023-06-24,SARI,20,24.1428571428571,38.9481412322964,-11.0883957015207,88.9846781661135,29
2023-06-25,SARI,23,24.0,38.8425552673523,-11.1256621639699,88.8107726986746,29
2023-06-26,SARI,19,21.7142857142857,38.7409487316786,-11.1614362202686,88.6433336836259,29
2023-06-27,SARI,20,20.5714285714286,38.6433248267195,-11.1957264030464,88.4823760564854,29
2023-06-28,SARI,12,18.2857142857143,38.5496865401911,-11.2285410119556,88.3279140923378,29
2023-06-29,SARI,20,18.8571428571429,38.4600366691782,-11.2598880971884,88.1799614355447,29
2023-06-30,SARI,14,18.2857142857143,38.3743778424036,-11.2897754436361,88.0385311284432,29
2023-07-01,SARI,9,16.7142857142857,37.7511175309245,-9.45286901475502,84.9551040766041,25
2023-07-02,SARI,15,15.5714285714286,37.6745466332506,-9.48120811669856,84.8303013831997,25
