date,triage,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2022-10-03,1,56,58.1714285714286,64.6158018429557,-12.4542593958082,141.68586308172,37
2022-10-04,1,69,59.8095238095238,64.6194214327567,-12.452818101431,141.691660966944,37
2022-10-05,1,75,60.2857142857143,64.6227190736963,-12.4515063597001,141.696944507093,37
2022-10-06,1,64,60.8571428571429,64.625691634287,-12.4503254455634,141.701708714138,37
2022-10-07,1,69,62.8571428571429,64.6283360837308,-12.4492765922091,141.705948759671,37
2022-10-08,1,74,64.8571428571429,64.6306494929787,-12.4483609905916,141.709659976549,37
2022-10-09,1,58,66.4285714285714,64.6326290357545,-12.4475797889742,141.712837860483,37
2022-10-10,1,63,67.4285714285714,64.6342719895445,-12.4469340924865,141.715478071575,37
2022-10-11,1,54,66.1428571428571,64.6355757365498,-12.4464249626986,141.717576435798,37
2022-10-12,1,48,61.7857142857143,64.636537764604,-12.446053417212,141.71912894642,37
2022-10-13,1,50,59.6190476190476,64.6371556680531,-12.4458204292668,141.720131765373,37
2022-10-14,1,53,57.25,64.6374271485985,-12.445726927366,141.720581224563,37
2022-10-15,1,65,55.9714285714286,64.6373500161029,-12.4457737949175,141.720473827123,37
2022-10-16,1,58,55.9047619047619,64.636922189357,-12.4459618698929,141.719806248607,37
2022-10-17,1,57,55.0,64.6361416968094,-12.4462919445044,141.718575338123,37
2022-10-18,1,56,55.2857142857143,64.6350066772563,-12.4467647648992,141.716778119412,37
2022-10-19,1,70,58.4285714285714,64.6335153804928,-12.4473810308726,141.714411791858,37
2022-10-20,1,64,60.4285714285714,64.6316661679246,-12.4481413955983,141.711473731448,37
2022-10-21,1,61,61.5714285714286,64.6294575131398,-12.4490464653785,141.707961491658,37
2022-10-22,1,48,59.1428571428571,64.6268880024408,-12.4500967994113,141.703872804293,37
2022-10-23,1,42,56.8571428571429,64.6239563353353,-12.4512929095772,141.699205580248,37
2022-10-24,1,56,56.7142857142857,64.6206613249876,-12.4526352602454,141.693957910221,37
2022-10-25,1,49,55.7142857142857,64.6170018986284,-12.4541242680971,141.688128065354,37
2022-10-26,1,46,52.2857142857143,64.6129770979233,-12.4557603019703,141.681714497817,37
2022-10-27,1,42,49.1428571428571,64.6085860793008,-12.4575436827216,141.674715841323,37
2022-10-28,1,62,49.2857142857143,64.6038281142379,-12.4594746831089,141.667130911585,37
2022-10-29,1,55,50.2857142857143,64.5987025895054,-12.4615535276924,141.658958706703,37
2022-10-30,1,51,51.5714285714286,64.5932090073699,-12.4637803927559,141.650198407496,37
2022-10-31,1,49,50.5714285714286,64.5873469857555,-12.4661554062466,141.640849377758,37
2022-11-01,1,44,49.8571428571429,64.5811162583624,-12.4686786477357,141.63091116446,37
2022-11-02,1,54,51.0,64.5745166747442,-12.471350148397,141.620383497885,37
2022-11-03,1,53,52.5714285714286,64.5675482003429,-12.4741698910067,141.609266291693,37
2022-11-04,1,41,49.5714285714286,64.560210916482,-12.4771378099615,141.597559642925,37
2022-11-05,1,49,48.7142857142857,64.5525050203175,-12.4802537913166,141.585263831952,37
2022-11-06,1,40,47.1428571428571,64.5444308247469,-12.4835176728442,141.572379322338,37
2022-11-07,1,63,49.1428571428571,64.5359887582761,-12.4869292441099,141.558906760662,37
2022-11-08,1,47,49.5714285714286,64.5271793648448,-12.4904882465695,141.544846976259,37
2022-11-09,1,60,50.4285714285714,64.5180033036094,-12.4941943736856,141.530200980904,37
2022-11-10,1,64,52.0,64.5084613486852,-12.4980472710627,141.514969968433,37
2022-11-11,1,63,55.1428571428571,64.498554388846,-12.5020465366017,141.499155314294,37
2022-11-12,1,67,57.7142857142857,64.488283427183,-12.506191720674,141.48275857504,37
2022-11-13,1,65,61.2857142857143,64.4776495807222,-12.5104823263147,141.465781487759,37
2022-11-14,1,70,62.2857142857143,64.4666540800007,-12.5149178094339,141.448225969435,37
2022-11-15,1,65,64.8571428571429,64.4552982686028,-12.5194975790476,141.430094116253,37
2022-11-16,1,54,64.0,64.4435836026542,-12.5242209975275,141.411388202836,37
2022-11-17,1,69,64.7142857142857,64.4315116502777,-12.529087380868,141.392110681423,37
2022-11-18,1,47,62.4285714285714,64.4190840910071,-12.5340959989733,141.372264180987,37
2022-11-19,1,54,60.5714285714286,64.4063027151628,-12.5392460759611,141.351851506287,37
2022-11-20,1,59,59.7142857142857,64.3931694231873,-12.5445367904855,141.33087563686,37
2022-11-21,1,59,58.1428571428571,64.3796862249416,-12.5499672760768,141.30933972596,37
2022-11-22,1,62,57.7142857142857,64.3658552389632,-12.5555366214997,141.287247099426,37
2022-11-23,1,58,58.2857142857143,64.3516786916857,-12.561243871128,141.264601254499,37
2022-11-24,1,66,53.8571428571429,64.3371589166205,-12.5670880253371,141.241405858578,37
2022-11-25,1,62,56.5714285714286,64.3222983535009,-12.5730680409132,141.217664747915,37
2022-11-26,1,53,57.2857142857143,64.3070995473894,-12.579182831479,141.193381926258,37
2022-11-27,1,48,56.5714285714286,64.2915651477484,-12.5854312679361,141.168561563433,37
2022-11-28,1,59,57.2857142857143,64.2756979074741,-12.5918121789232,141.143207993871,37
2022-11-29,1,52,56.7142857142857,64.2595006818959,-12.5983243512903,141.117325715082,37
2022-11-30,1,59,57.0,64.2429764277399,-12.6049665305885,141.090919386068,37
2022-12-01,1,54,55.2857142857143,64.2261282020581,-12.611737421575,141.063993825691,37
2022-12-02,1,57,54.5714285714286,64.2089591611233,-12.618635688733,141.03655401098,37
